0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447
KEGG_VITAMIN_B6_METABOLISM,PHOSPHO2,PSAT1,AOX1,PDXK,PNPO,PDXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,SIRT2,NT5C1A,NADK,ENPP3,SIRT4,NMRK2,NT5C2,BST1,NMNAT1,NT5M,SIRT7,NNT,AOX1,NMNAT2,SIRT6,ENPP1,NAPRT,NMRK1,NAMPT,CD38,NMNAT3,NT5C1B,NT5C1B-RDH14,SIRT5,PNP,NNMT,SIRT3,NADSYN1,NUDT12,ASPDH,SARM1,QPRT,NT5E,NUDT13,SIRT1,NT5C,NADK2,NT5DC4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS,PANK2,COASY,DPYS,ENPP3,BCAT2,VNN1,ENPP1,BCAT1,PANK1,ALDH2,GADL1,AASDHPPT,CSAD,PPCS,ALDH1B1,VNN2,ALDH3A2,PPCDC,UPB1,DPYD,PANK3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_BIOTIN_METABOLISM,BTD,OXSM,HLCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_LIPOIC_ACID_METABOLISM,AMT,DBT,GCSH,DLD,OGDHL,PDHA1,BCKDHA,PDHB,BCKDHB,ACSM1,GLDC,DHTKD1,OGDH,DLST,LIPT1,PDHA2,LIAS,LIPT2,DLAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_FOLATE_BIOSYNTHESIS,TH,ALPL,MOCOS,TPH1,GCH1,PCBD2,CBR1,ALPI,ALPP,DHFR2,AKR1B10,FPGS,AKR1B15,AKR1B1,GGH,ALPG,PCBD1,SPR,GPHN,MOCS2,QDPR,TPH2,DHFR,MOCS1,AKR1C3,PTS,AKR1C8,PAH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_ONE_CARBON_POOL_BY_FOLATE,CHDH,MAT1A,AHCYL1,AHCYL2,MTHFR,FTCD,ALDH1L2,CBS,GCSH,MTHFD2L,GART,ATIC,GNMT,DHFR2,MTHFD2,BHMT,AMT,DLD,MTHFS,GLDC,AHCY,SHMT1,BHMT2,SARDH,MTHFD1,MTR,CTH,ALDH1L1,DHFR,MAT2A,MTHFD1L,ST20-MTHFS,MAT2B,TYMS,SHMT2,DMGDH,ALDH7A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_RETINOL_METABOLISM,UGT1A6,CYP2C9,CYP2B6,HSD17B6,CYP2C18,ADH5,UGT2A1,RDH16,CYP3A4,UGT1A1,ALDH1A3,DHRS3,CYP2A6,CYP2C8,CYP1A1,CYP3A7-CYP3A51P,AOX1,UGT1A3,CYP27C1,UGT2B28,UGT2B11,CYP3A7,BCO1,UGT2B17,UGT1A4,DHRS4,UGT2A2,UGT2B4,SDR16C5,UGT2B15,ADH7,ADH4,CYP26C1,RETSAT,RDH10,ADH1A,RPE65,CYP2S1,CYP2W1,UGT1A7,ALDH1A1,RDH12,RDH13,UGT1A5,CYP3A5,DHRS9,CYP26B1,UGT2A3,PNPLA4,CYP26A1,RDH5,UGT1A8,DGAT1,AWAT2,CYP1A2,UGT2B10,DHRS4L2,UGT1A9,LRAT,CYP2A7,UGT1A10,ADH6,ALDH1A2,RDH11,UGT2B7,ADH1B,ADH1C,RDH8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_PORPHYRIN_METABOLISM,ALAD,UGT1A6,ALAS1,FTMT,UGT2A1,CP,EPRS1,UGT1A1,COX10,HEPH,HCCS,HMOX1,UGT1A3,MMAB,UGT2B28,UROD,UGT2B11,UGT2B17,UGT1A4,UGT2A2,UGT2B4,UGT2B15,BLVRA,FECH,UROS,GUSB,HMOX2,UGT1A7,UGT1A5,CPOX,FTH1,UGT2A3,HEPHL1,ALAS2,FXN,COX15,PPOX,UGT1A8,UGT2B10,UGT1A9,UGT1A10,UGT2B7,BLVRB,FTL,HMBS,EARS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_UBIQUINONE_AND_OTHER_TERPENOID-QUINONE_BIOSYNTHESIS,COQ6,VKORC1,TAT,NQO1,COQ4,COQ2,HPD,COQ3,COQ5,COQ7,VKORC1L1,GGCX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,IDI1,ICMT,FNTA,FDPS,DHDDS,MVK,PDSS1,PDSS2,ZMPSTE24,ACAT1,ACAT2,HMGCS1,FNTB,PMVK,HMGCS2,RCE1,GGPS1,IDI2,CHURC1-FNTB,NUS1,PCYOX1,MVD,HMGCR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_CAFFEINE_METABOLISM,XDH,NAT1,CYP1A2,CYP2A7,CYP2A6,NAT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"KEGG_NEOMYCIN,_KANAMYCIN_AND_GENTAMICIN_BIOSYNTHESIS",HK2,GCK,HK1,HK3,HKDC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,UGT1A6,CYP2C9,CYP2B6,DHDH,GSTA2,ALDH3B2,UGT2A1,ADH5,CYP2A13,GSTP1,MGST3,UGT1A1,CYP3A4,GSTO2,CBR3,CYP2A6,CYP1A1,CYP2E1,UGT1A3,GSTK1,GSTM3,UGT2B28,UGT2B11,UGT2B17,GSTA4,CBR1,UGT1A4,UGT2A2,UGT2B4,CYP2F1,UGT2B15,MGST1,ADH4,ADH7,GSTT4,GSTA3,MGST2,ADH1A,AKR7L,AKR1C1,CYP2S1,AKR7A2,UGT1A7,GSTT2B,CYP2D7,UGT1A5,CYP1B1,GSTM2,GSTA5,UGT2A3,ALDH3B1,GSTA1,CYP3A5,AKR7A3,GSTT1,GSTM1,UGT1A8,HSD11B1,GSTM5,CYP2D6,HSD11B1L,GSTT2,UGT2B10,CYP1A2,UGT1A9,HPGDS,GSTM4,UGT1A10,UGT2B7,ALDH3A1,ADH6,GSTO1,SULT2A1,CYP2A7,EPHX1,ADH1B,ADH1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_DRUG_METABOLISM_-_CYTOCHROME_P450,UGT1A6,CYP2C9,CYP2B6,MAOB,GSTA2,ALDH3B2,ADH5,UGT2A1,GSTP1,CYP3A4,MGST3,UGT1A1,GSTO2,CYP2A6,FMO3,MAOA,CYP2C8,CYP2E1,UGT1A3,GSTK1,AOX1,GSTM3,UGT2B28,UGT2B11,UGT2B17,GSTA4,UGT1A4,UGT2A2,UGT2B4,UGT2B15,MGST1,ADH4,ADH7,FMO2,GSTT4,GSTA3,MGST2,ADH1A,UGT1A7,GSTT2B,CYP2D7,UGT1A5,FMO1,GSTM2,ALDH3B1,GSTA5,UGT2A3,GSTA1,CYP3A5,GSTT1,GSTM1,FMO5,UGT1A8,GSTM5,CYP2D6,GSTT2,CYP1A2,UGT2B10,FMO4,HPGDS,UGT1A9,GSTM4,UGT1A10,ADH6,ALDH3A1,UGT2B7,GSTO1,CYP2A7,CYP2C19,ADH1B,ADH1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_DRUG_METABOLISM_-_OTHER_ENZYMES,UGT1A6,UMPS,RRM2B,DPYS,CMPK1,GSTA2,TK2,UGT2A1,CDA,RRM1,GSTO1,GSTP1,UGT1A1,UCK2,CYP3A4,NME6,DUT,MPO,GSTO2,NME1-NME2,TPMT,CYP2A6,ITPA,HPRT1,NME2,MGST3,XDH,CYP2E1,NME1,UGT1A3,GSTM3,UGT2B28,UGT2B11,UGT2B17,GSTA4,UGT1A4,UGT2A2,UGT2B4,UPP1,IMPDH2,UGT2B15,UCKL1,MGST1,NME7,CES2,GSTT4,GSTA3,MGST2,GUSB,RRM2,UGT1A7,GSTT2B,UGT1A5,GSTM2,GSTA5,UGT2A3,NAT2,CES1,GSTA1,UPP2,GSTM1,GSTT1,UPB1,NAT1,DPYD,GMPS,UGT1A8,GSTM5,NME3,NME4,TYMP,UGT2B10,GSTT2,UGT1A9,UCK1,IMPDH1,UGT1A10,TK1,UGT2B7,CYP2A7,GSTM4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_RNA_POLYMERASE,POLR2M,POLR1E,POLR1C,POLR3H,POLR1G,POLR3E,POLR2J2,POLR3F,POLR1D,POLR2H,POLR3GL,POLR2J,POLR2G,POLR2K,POLR3C,POLR3B,POLR1H,POLR2C,POLR2J3,POLR2I,CRCP,POLR3A,POLR2D,POLR2E,POLR2B,POLR2A,POLR1A,POLR3G,POLR1F,POLR3D,POLR1B,POLR3K,POLR2F,POLR2L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_BASAL_TRANSCRIPTION_FACTORS,TAF9,GTF2H3,TAF1,TAF6L,GTF2I,TAF9B,TAF1L,TAF5,GTF2F2,TAF2,TAF3,CDK7,GTF2A1L,GTF2H4,TAF8,TAF12,CCNH,TAF11,ERCC2,GTF2H2,GTF2B,TAF4,ERCC3,GTF2H2C,TAF15,TAF6,GTF2F1,TAF4B,GTF2E2,TAF5L,GTF2A2,TAF13,TAF10,MNAT1,GTF2A1,TAF7L,TAF7,GTF2H1,GTF2H2C_2,GTF2H5,TBPL2,GTF2E1,TBPL1,TBP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEGG_SPLICEOSOME,SMNDC1,NCBP1,CDC5L,DDX5,HSPA1A,SNRPA,SF3B3,RNU5A-1,EIF4A3,RNU1-3,AQR,BCAS2,RNVU1-17,SF3B1,U2AF1L5,RNU1-4,PHF5A,RBM22,PRPF3,RNU5B-1,MAGOHB,HNRNPA3,PLRG1,U2AF2,RNVU1-18,SNRNP200,RP9,DHX8,DDX42,U2AF1L4,RNVU1-8,SRSF3,DDX23,RNU2-1,DDX39B,RNVU1-20,CHERP,ZMAT2,PRPF18,SNW1,RNU4-1,LSM2,HNRNPM,RNU5F-1,RBM17,PRPF8,PPIL1,LSM8,LSM6,TXNL4A,SRSF7,SRSF2,RNU5D-1,RBM25,RNU6-8,DHX16,SRSF10,HSPA6,DHX15,HNRNPA1L3,RNU6-1,SNRPC,PRPF40B,SNRPF,PRPF38A,RNVU1-15,EFTUD2,XAB2,RNVU1-1,SYF2,SNRPD2,ALYREF,SNRNP40,CWC15,HNRNPU,HSPA1L,BUD31,TRA2A,TCERG1,PRPF31,RNVU1-26,SF3A3,PUF60,LSM4,SF3B2,HNRNPC,HSPA8,SF3A2,HSPA1B,CCDC12,SLU7,CTNNBL1,RNVU1-19,SRSF6,SNU13,RNVU1-4,SRSF8,ACIN1,NCBP2L,SNRNP27,RNVU1-30,HNRNPA1,SRSF5,THOC2,U2AF1,RNVU1-27,SNRPB,MAGOH,SRSF4,PRPF6,PQBP1,SRSF1,RNVU1-14,LSM5,SNRPD3,RNVU1-3,FUS,PCBP1,RNVU1-28,RNU1-2,PPIE,SART1,THOC1,RNU6-2,SNRPB2,RNU5E-1,CDC40,CRNKL1,LSM3,SNRPD1,SNRNP70,SF3B4,PRPF38B,USP39,SF3A1,PRPF4,RBMX,SF3B6,HNRNPK,SRSF9,RNU1-1,ISY1-RAB43,RNVU1-6,SF3B5,WBP11,PRPF19,RNVU1-31,NCBP2,RBM8A,ISY1,RNU6-7,SNRPA1,THOC3,HNRNPA1L2,SNRPE,TRA2B,RNVU1-7,PRPF40A,RNU4-2,DHX38,PPIH,RNVU1-2A,DDX46,RNU6-9,SNRPG,LSM7,U2SURP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
